Step,Disturbance,Output
145,-7,7.185700000000001
146,-7,7.208450000000001
147,-7,7.232250000000001
148,-7,7.2536
149,-7,7.273200000000001
150,-7,7.299100000000001
151,-7,7.317650000000001
152,-6,6.332650000000004
153,-6,6.553350000000001
154,-6,6.570750000000002
155,-6,6.591450000000002
156,-6,6.606750000000002
157,-6,6.625650000000002
158,-5,5.653964814814811
159,-4,4.884483333333336
160,-4,5.063750000000002
161,-3,0
162,-3,0
163,-2,0
164,-1,0
165,0,0
166,1,0
167,3,0
168,3,0
169,5,-3.537115384615395
170,6,-3.147871428571425
171,10,-6.753745205479448
172,10,-6.238799999999999
173,8,-4.398129729729728
174,8,-4.693999999999999
175,7,-3.780311111111112
176,6,-2.957428571428568
177,5,-2.190209677419356
178,4,-1.408049999999999
179,5,-2.573128431372554
180,5,-2.394049999999998
181,5,-2.407799999999998
182,6,-3.430533333333332
183,7,-4.209866666666664
184,6,-3.118972463768113
185,8,-5.16377027027027
186,9,-5.887166666666664
187,10,-60
188,10,-60
189,10,-60
190,10,-60
191,10,-60
192,8,-60
193,8,-4.780965573770491
194,6,-2.968043137254902
195,5,-2.432522463768112
196,4,-1.622783333333333
197,4,-1.801649999999999
198,6,-3.747818852459016
199,7,-60
200,8,-60
201,8,-60
202,8,-60
203,7,-60
204,6,-3.440049999999999
205,4,-1.487413636363633
206,2,0
207,1,0
208,2,0
209,3,0
210,3,0
211,4,-1.862249999999999
212,5,-2.811370129870128
213,6,-3.659130158730156
214,7,-4.490541525423725
215,7,-4.340649999999999
216,7,-4.357099999999999
217,8,-60
218,7,-4.37705
219,8,-60
220,7,-4.396999999999999
221,8,-60
222,8,-60
223,8,-60
224,8,-60
225,8,-60
226,7,-4.416599999999999
227,7,-4.435849999999999
228,6,-3.463070754716984
229,5,-2.700083333333329
230,6,-3.865068181818177
231,7,-4.684318181818182
232,8,-60
233,8,-60
234,9,-60
235,9,-60
236,7,-4.5298
237,6,-3.560814814814809
238,5,-2.805749999999999
239,6,-3.957371428571426
240,7,-4.759580158730161
241,8,-5.596463793103442
242,8,-5.44645
243,9,-60
244,9,-60
245,10,-60
246,10,-60
247,10,-60
248,9,-6.444963793103447
249,7,-4.443439743589741
250,5,-2.769522413793101
251,5,-3.130099999999999
252,5,-3.144099999999999
253,5,-3.157599999999999
254,5,-3.175099999999999
255,5,-3.189599999999999
256,6,-4.128659550561797
257,8,-5.97363333333333
258,8,-5.6671
259,8,-5.688299999999999
260,8,-5.712699999999999
261,9,-6.711213793103448
262,8,-5.571320754716984
263,8,-5.7872
264,7,-4.82091481481481
265,7,-5.025700000000001
266,6,-4.085869841269838
267,4,-2.311372413793102
268,3,0
269,3,0
270,2,0
271,4,-2.668799999999999
272,3,0
273,4,-2.680599999999999
274,4,-2.694799999999999
275,5,-3.687371428571425
276,6,-4.478153731343284
277,7,-5.324288596491222
278,6,-4.176070754716971
279,6,-4.38335
280,6,-4.40135
281,5,-3.486766666666671
282,5,-3.633599999999999
283,6,-4.638179245283016
284,5,-3.524142857142857
285,7,-5.632127586206898
286,8,-6.258157142857143
287,9,-60
288,10,-60
289,9,-60
290,10,-60
291,9,-60
292,8,-60
293,7,-5.201611111111109
294,6,-4.371514814814809
295,5,-3.585014814814822
296,4,-2.815533333333329
297,4,-2.992799999999999
298,5,-3.94968888888889
299,5,-3.824549999999999
300,6,-4.788407142857142
301,7,-5.649635185185178
302,7,-5.4858
303,8,-6.465646153846158
304,7,-5.359686206896551
